2025-11-09 00:52:20.444 [http-nio-8080-exec-6] INFO  com.itheima.aop.OperationLogAspect-记录操作日志：OperateLog(id=null, operateEmpId=10, operateTime=2025-11-09T00:52:20.443128, className=com.itheima.controller.DeptController, methodName=add, methodParams=[Dept(id=null, name=777, createTime=2025-11-09T00:52:20.424635, updateTime=2025-11-09T00:52:20.424697)], returnValue=Result(code=1, msg=success, data=null), costTime=19)
2025-11-09 00:52:20.468 [http-nio-8080-exec-7] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：10 已经存储到localthread
2025-11-09 00:52:20.474 [http-nio-8080-exec-7] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-11-09 00:52:22.576 [http-nio-8080-exec-8] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：10 已经存储到localthread
2025-11-09 00:52:22.585 [http-nio-8080-exec-8] INFO  com.itheima.controller.DeptController-根据ID查询部门数据：12
2025-11-09 00:52:26.564 [http-nio-8080-exec-9] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：10 已经存储到localthread
2025-11-09 00:52:26.579 [http-nio-8080-exec-9] INFO  com.itheima.controller.DeptController-修改部门数据：Dept(id=12, name=888, createTime=2025-11-09T00:52:20, updateTime=2025-11-09T00:52:26.571359)
2025-11-09 00:52:26.579 [http-nio-8080-exec-9] INFO  com.itheima.aop.OperationLogAspect-记录操作日志：OperateLog(id=null, operateEmpId=10, operateTime=2025-11-09T00:52:26.579759, className=com.itheima.controller.DeptController, methodName=update, methodParams=[Dept(id=12, name=888, createTime=2025-11-09T00:52:20, updateTime=2025-11-09T00:52:26.571359)], returnValue=Result(code=1, msg=success, data=null), costTime=8)
2025-11-09 00:52:26.600 [http-nio-8080-exec-10] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：10 已经存储到localthread
2025-11-09 00:52:26.608 [http-nio-8080-exec-10] INFO  com.itheima.controller.DeptController-查询全部部门数据
2025-11-09 00:52:28.063 [http-nio-8080-exec-2] INFO  com.itheima.intercepter.TokenIntercepter-当前登录员工id：10 已经存储到localthread
2025-11-09 00:52:28.073 [http-nio-8080-exec-2] DEBUG o.s.jdbc.support.JdbcTransactionManager-Creating new transaction with name [com.itheima.service.impl.DeptServiceImpl.deleteById]: PROPAGATION_REQUIRED,ISOLATION_DEFAULT,-java.lang.Exception
2025-11-09 00:52:28.075 [http-nio-8080-exec-2] DEBUG o.s.jdbc.support.JdbcTransactionManager-Acquired Connection [HikariProxyConnection@104661188 wrapping com.mysql.cj.jdbc.ConnectionImpl@3218b048] for JDBC transaction
2025-11-09 00:52:28.077 [http-nio-8080-exec-2] DEBUG o.s.jdbc.support.JdbcTransactionManager-Switching JDBC Connection [HikariProxyConnection@104661188 wrapping com.mysql.cj.jdbc.ConnectionImpl@3218b048] to manual commit
2025-11-09 00:52:28.086 [http-nio-8080-exec-2] DEBUG o.s.jdbc.support.JdbcTransactionManager-Initiating transaction commit
2025-11-09 00:52:28.086 [http-nio-8080-exec-2] DEBUG o.s.jdbc.support.JdbcTransactionManager-Committing JDBC transaction on Connection [HikariProxyConnection@104661188 wrapping com.mysql.cj.jdbc.ConnectionImpl@3218b048]
